pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
FF,2017-04-30,96,-2.6373,5.885,Giancarlo Stanton,519317,592127,strikeout,swinging_strike,NA,NA,NA,NA,8,Giancarlo Stanton strikes out swinging.,R,R,R,MIA,PIT,S,2,NA,3,2,2017,-0.6094,1.2915,0.1152,1.7779,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202748,8.5171,-138.8117,-7.8801,-9.8866,36.2017,-14.1501,3.72,1.74,NA,NA,NA,94.123,2206,5.908,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,54.5902,NA,NA,0,1,0,0,NA,71,7,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,NA
FT,2017-04-30,95.3,-2.826,5.9844,Giancarlo Stanton,519317,592127,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,2,2,2017,-0.7,1.2703,0.1237,1.0021,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202712,9.0931,-137.6337,-9.9084,-10.8275,33.1795,-14.3865,3.72,1.74,NA,NA,NA,93.218,2119,5.662,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,54.836,NA,NA,NA,NA,NA,NA,NA,71,6,2-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,NA
SL,2017-04-30,89.5,-2.6598,6.0425,Giancarlo Stanton,519317,592127,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,MIA,PIT,S,NA,NA,2,2,2017,1.0077,1.2607,0.1296,2.3311,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202644,4.7416,-129.6457,-5.5435,9.8594,32.0448,-17.2838,3.72,1.74,183,68.9,34.4,87.8,2226,5.88,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,54.6175,NA,NA,NA,NA,NA,NA,NA,71,5,Slider,10,3,10,3,3,10,10,3,Standard,Standard,0
SL,2017-04-30,90.2,-2.5419,5.8661,Giancarlo Stanton,519317,592127,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,1,2,2017,-0.1706,0.5272,1.4344,1.4698,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202616,10.1209,-130.4628,-5.9031,-4.2048,29.552,-25.1767,3.72,1.74,NA,NA,NA,88.897,2194,5.981,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,54.5171,NA,NA,NA,NA,NA,NA,NA,71,4,Slider,10,3,10,3,3,10,10,3,Standard,Standard,NA
SL,2017-04-30,88.4,-2.6389,5.9318,Giancarlo Stanton,519317,592127,NA,swinging_strike,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,S,NA,NA,1,1,2017,0.6566,0.7271,1.1232,2.5765,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202549,7.7189,-127.9559,-3.4025,5.2105,29.7726,-23.8971,3.72,1.74,NA,NA,NA,86.697,2139,5.78,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,54.7181,NA,NA,NA,NA,NA,NA,NA,71,3,Slider,10,3,10,3,3,10,10,3,Standard,Standard,NA
CU,2017-04-30,77.7,-2.5353,5.9414,Giancarlo Stanton,519317,592127,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,MIA,PIT,B,NA,NA,0,1,2017,1.0804,-0.8792,1.057,3.156,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202525,5.659,-112.3666,2.6192,7.4713,24.4736,-40.1481,3.72,1.74,NA,NA,NA,75.272,2396,5.313,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,55.1849,NA,NA,NA,NA,NA,NA,NA,71,2,Curveball,10,3,10,3,3,10,10,3,Standard,Standard,NA
FF,2017-04-30,95.5,-2.7841,5.8932,Giancarlo Stanton,519317,592127,NA,called_strike,NA,NA,NA,NA,2,NA,R,R,R,MIA,PIT,S,NA,NA,0,0,2017,-0.5128,1.3798,0.0388,3.1825,NA,445988,NA,2,7,Bot,NA,NA,NA,NA,455755,NA,170430_202503,8.4158,-138.1627,-4.3425,-8.487,34.719,-14.2119,3.72,1.74,NA,NA,NA,93.555,1979,5.744,490471,592127,455755,605137,593700,543281,474568,591741,457705,444379,54.7539,NA,NA,NA,NA,NA,NA,NA,71,1,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,NA
CH,2017-04-30,84.6,-2.7905,5.3078,Giancarlo Stanton,519317,543339,field_out,hit_into_play,NA,NA,NA,NA,13,Giancarlo Stanton lines out sharply to third baseman Josh Harrison.,R,R,R,MIA,PIT,X,5,line_drive,3,2,2017,-1.4426,1.1118,-1.0095,2.1919,NA,NA,NA,0,7,Bot,100.5,168.7,NA,NA,455755,NA,170430_200706,6.9429,-122.4907,-2.9386,-15.838,27.9669,-20.778,3.72,1.74,121,82,8.4,83.44,2300,6.147,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.351,0.456,0.431,0,1,0,0,4,62,8,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,0
FF,2017-04-30,96,-2.8801,5.3496,Giancarlo Stanton,519317,543339,NA,foul,NA,NA,NA,NA,5,NA,R,R,R,MIA,PIT,S,NA,NA,3,2,2017,-0.8303,1.2544,0.1322,2.582,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200640,9.7575,-138.9453,-4.4055,-13.0075,33.942,-15.2907,3.72,1.74,170,75.7,17.4,94.978,2467,6.188,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.3097,NA,NA,NA,NA,NA,NA,NA,62,7,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,0
SL,2017-04-30,83.8,-2.7969,5.3552,Giancarlo Stanton,519317,543339,NA,foul,NA,NA,NA,NA,5,NA,R,R,R,MIA,PIT,S,NA,NA,3,2,2017,0.3362,0.2814,0.1702,2.7538,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200614,6.1449,-121.4933,1e-4,1.8265,28.0771,-29.7289,3.72,1.74,155,64.9,30.1,82.479,2412,6.012,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.4858,NA,NA,NA,NA,NA,NA,NA,62,6,Slider,4,3,4,3,3,4,4,3,Standard,Standard,0
